contract_address,tx_count,user_count,,
0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,4027969,188516,Router,https://etherscan.io/address/0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49
0xdb5889e35e379ef0498aae126fc2cce1fbd23216,1534137,49792,Router,https://etherscan.io/address/0xdb5889e35e379ef0498aae126fc2cce1fbd23216
0x38e68a37e401f7271568cecaac63c6b1e19130b4,63164,30685,$BANANA,https://etherscan.io/address/0x38e68a37e401f7271568cecaac63c6b1e19130b4
0x58df81babdf15276e761808e872a3838cbecbcf9,277778,10569,Router,https://etherscan.io/address/0x58df81babdf15276e761808e872a3838cbecbcf9
0xccf5cf1d039f1a7b66be855b79b14a01d0a4dbd5,5215,4060,$BANANA,https://etherscan.io/address/0xccf5cf1d039f1a7b66be855b79b14a01d0a4dbd5
0x136f79961b7ab2a91104ec892c288e225e100214,19085,1804,MEV Router,https://etherscan.io/address/0x136f79961b7ab2a91104ec892c288e225e100214
0xdc13700db7f7cda382e10dba643574abded4fd5b,18447,1630,Router,https://etherscan.io/address/0xdc13700db7f7cda382e10dba643574abded4fd5b
0xf9383d3906706d687371757fb2ad1be98eb20e90,4809,1322,Vista Router,https://etherscan.io/address/0xf9383d3906706d687371757fb2ad1be98eb20e90
0x2c5a7c677cd084537188ddf9c772475b8193caa9,3852,1044,Router,https://etherscan.io/address/0x2c5a7c677cd084537188ddf9c772475b8193caa9
0x67981a396852ea0cba2a687b427fa71f7739d1cf,4428,950,MEV Router,https://etherscan.io/address/0x67981a396852ea0cba2a687b427fa71f7739d1cf
0x206d0e603327f8a9e807ca4aca8e5b0917ee87b0,1530,895,Claim,https://etherscan.io/address/0x206d0e603327f8a9e807ca4aca8e5b0917ee87b0
0xfc932f4a6e3aaf6dc4fefdaf89d3602c5581f58d,790,717,Claim,https://etherscan.io/address/0xfc932f4a6e3aaf6dc4fefdaf89d3602c5581f58d
0xbf38effb960689f700a97215049923cbbb0cc120,1865,684,Vista Router,https://etherscan.io/address/0xbf38effb960689f700a97215049923cbbb0cc120
0x1e5249dca89d43bd917b7d05199e4eff4fb9a4df,2379,596,Router,https://etherscan.io/tx/0x0fdbaccbabc55e2b842818880838cd8e5b15a451237ca7d3949daba69d7262fc
0x96d491789efea52f127f58e24709282517f3d73d,2282,534,MEV Router,https://etherscan.io/address/0x96d491789efea52f127f58e24709282517f3d73d
0x237ffd169341686762c9e29adec65b98eb3eaa76,1315,441,Router,https://etherscan.io/address/0x237ffd169341686762c9e29adec65b98eb3eaa76
0xc3d21c54cf2a7c8153b52e5d1079b62be303d211,433,392,Banana,https://etherscan.io/address/0xc3d21c54cf2a7c8153b52e5d1079b62be303d211
0x58524214e69966a0722deff50bbb261b1977cb5c,834,386,Router,https://etherscan.io/address/0x58524214e69966a0722deff50bbb261b1977cb5c
0x385a48b5544a3cd2d76f74bd814242c8a01a9511,171,85,Test Router,https://etherscan.io/address/0x385a48b5544a3cd2d76f74bd814242c8a01a9511
0x610d9b6bd6a0f50d9c7d589001f47cd86938df5d,51,41,Test Router,https://etherscan.io/address/0x610d9b6bd6a0f50d9c7d589001f47cd86938df5d
0xe17d949467757356c6e8e0bc3b5b983dd915609b,20,18,Test Router,https://etherscan.io/address/0xe17d949467757356c6e8e0bc3b5b983dd915609b
0xa0a23c6a4a22e7dd981d5e24c0cd79dc358ff8d0,30,16,Test Router,https://etherscan.io/address/0xa0a23c6a4a22e7dd981d5e24c0cd79dc358ff8d0
0x461efe0100be0682545972ebfc8b4a13253bd602,8,7,Banana,https://etherscan.io/address/0x461efe0100be0682545972ebfc8b4a13253bd602
0x8c3dc058ebfd9f492a440b5eb40b8f75da4f8b0b,4,4,Banana,https://etherscan.io/address/0x8c3dc058ebfd9f492a440b5eb40b8f75da4f8b0b
0xaf173f4b58ac98777b331e3428a5fad2f1070a85,4,3,Test Vista Router,https://etherscan.io/address/0xaf173f4b58ac98777b331e3428a5fad2f1070a85
0xbc5422ca53b50f48731473db25647c50088a28ac,30,2,AA Router,https://etherscan.io/address/0xbc5422ca53b50f48731473db25647c50088a28ac
0xd0a14610c6e4455fc7cd81bde0d0d824fd58b43e,2134,2,Rewards,https://etherscan.io/address/0xd0a14610c6e4455fc7cd81bde0d0d824fd58b43e
0x6e38d4999fdb6fac24973e508cde9397e369c5af,15,1,Manager,https://etherscan.io/address/0x6e38d4999fdb6fac24973e508cde9397e369c5af
0xbaecae9d62619b9a4346a089b7a6fa18faf5fc43,4,1,Test Router,https://etherscan.io/address/0xbaecae9d62619b9a4346a089b7a6fa18faf5fc43
0x065ead507d623c03664c63ecdac26aef7cc18bc6,448,1,Rewards,https://etherscan.io/address/0x065ead507d623c03664c63ecdac26aef7cc18bc6
0x35fc556d6f8675b26fdf1542e6e894100155b34e,1,1,Test,https://etherscan.io/address/0x35fc556d6f8675b26fdf1542e6e894100155b34e
0x26d4d97eb71c0b62cb66466d64363038237e6ecf,1,1,Test,https://etherscan.io/address/0x26d4d97eb71c0b62cb66466d64363038237e6ecf
0x4af0678a8fa65107bcd8c3c4566adbc278b51d6f,321,1,Transfer,https://etherscan.io/address/0x4af0678a8fa65107bcd8c3c4566adbc278b51d6f
0x6483bc508e2ff0bc6e12f06f58046c75f3c4f2dd,475,1,Transfer,https://etherscan.io/address/0x6483bc508e2ff0bc6e12f06f58046c75f3c4f2dd
0x0e7eda7ed38a65bdeafad781ede72a5f190b3758,83,1,Transfer,https://etherscan.io/address/0x0e7eda7ed38a65bdeafad781ede72a5f190b3758
0xc465cc50b7d5a29b9308968f870a4b242a8e1873,1,1,Test,https://etherscan.io/address/0xc465cc50b7d5a29b9308968f870a4b242a8e1873
0x2e4a654f0bf2c8bac18aa077f942930a15b96f82,1,1,Test,https://etherscan.io/address/0x2e4a654f0bf2c8bac18aa077f942930a15b96f82
0xd4aaa6de0c7740594da087ee51f1dbaa0ce0cf63,5,1,Rescue,https://etherscan.io/address/0xd4aaa6de0c7740594da087ee51f1dbaa0ce0cf63
0xe149884ab8773a5f2576a37b490d5175d8867fa9,985,1,Transfer,https://etherscan.io/address/0xe149884ab8773a5f2576a37b490d5175d8867fa9
0xf1eaa41445bb3ade7db9512fe9fb2ca8c47e5d16,4,1,Factory,https://etherscan.io/address/0xf1eaa41445bb3ade7db9512fe9fb2ca8c47e5d16
0x401ef512614f0bf7626ff8cac07af1b85b6ce693,0,0,,
0x80b98fc9d453b5e605f4d0bf429ab1bbfa8f0e19,0,0,,
0x483cb3d96dea1381fa7a9f72454d26aa3c3d5ff8,0,0,,
0xcb5182908a98887adb2a59e95cf6cd415406b23a,0,0,,
0xadfa049a1618af1e3dcd2fcfdb156ec8c79d7931,0,0,,
0xd892d674c24e7f58b721d5afb70ee49e28fea03e,0,0,,
0xbe651d4d07f8fea8ec7dc499eccb3cfcfeebb435,0,0,,
0xf39086b9f5c80e130c76c1214e61e2777195660e,0,0,,
0x3a0eff672525e58659d4577e64f272383b0fa187,0,0,,
0x846e46e7296253cca2a0cfb227c8cd878bda1959,0,0,,
0xc6265979793435b496e28e61af1500c22c3ba277,0,0,,
0xabcded6d4b3f5525cbe0d5e872ed34c9ad81b185,0,0,,
0x1895cb011c35b80430ad88e046598038133b9f6b,0,0,,
0xe9930aedad07cbe1885872f87bfbd76bf463665f,0,0,,
0x386f0a237d55e65ced9a6041f54ca19cec707229,0,0,,
0x5200a0e9b161bc59feecb165fe2592bef3e1847a,0,0,,
0x241423640f5bfd019f885e9b6b544145f96bd6cc,0,0,,
0x299f7b6dac468221187c7b6532fc980054bf071f,0,0,,
0x5436e562fec6b0110e98f7d8b4ba6ab829ff165d,0,0,,
0xeeb64880b668897b5d668497f1263d2decf1022f,0,0,,
0xbace54037ffd50f36503260c772c0a84becbd218,0,0,,
0x28157b44c05b71952775a98dae6bc7785aaaa72b,0,0,,
0x545dd4654531a59059850aa8732c0fd4e546dda0,0,0,,
0xe3bdecabc5d5fa514e2c6895fc87abcfa4df5ab8,0,0,,
0x2b17b52255630ed364cf28cdfe487f79e1584366,0,0,,
0x662e87851d8e132028550cf3f039ee40d6498590,0,0,,
0x3fbc3cc9fae1f2b1e473216e6dd2da8891e49320,0,0,,
0xa7a2702362688bfe8507760e23285a611c56b94e,0,0,,
0xd40525af4ce0c7c0e5c9fb8ea619dd93607905c6,0,0,,
0x89f9c7b79a11ff0c245afc4ada8340f38f76753f,0,0,,
0xeccbb94b9ee6374d9484e0f8f72ff5ed13b6aae4,0,0,,
0xbcd3a47e4d0000cf170e25d1bd3d53f7c08be0a6,0,0,,
0x62ebc569635b583ae223f1716a77d0025f9c34f7,0,0,,
0x3c5ac09af53dd598a0c1119d3a78300ce0746101,0,0,,
0x0d5a5ef59974f93036fce5248e9e702a0021d46f,0,0,,
0xbe486b6c361ddf7e73caf1a9740f5cc001b5da38,0,0,,
0xa4e26c3af774ed19ffce0521357d6720687470e0,0,0,,
0x1c4a76f30893a97a2f4dc206486abf60b8468604,0,0,,
0x48f4059a6144e1c964d00c636b7d0eea28a74f35,0,0,,
0x7f731f1df33a7d28921d339bd5ab19685538d3fa,0,0,,
0x3fac4f6744342e7ab97d4871994af2ded505b90e,0,0,,
0x88e4e6d8f12fd67ba27d3ebeaffb8a6ed2f0c603,0,0,,
0x74a15d7d0baa15414f9f3fa790d1b8dff9b4f4df,0,0,,
0xae0fd371270bf53a803df4626d4de0c94091079c,0,0,,
0x32fc0ee98812e42c5456314032923e5ad2ecfb86,0,0,,
0x2bb9ab45212dca90fd23a72f71152086b600cfce,0,0,,
0x50282b204ae2a36a6a7f2783ce351617030f6838,0,0,,
0xf46bdcc4a05f8cc40cc570ba4769be74887789d1,0,0,,
0x6494a7e770b8f67472703f8988ce943aa9dfa2bc,0,0,,
0x61c5a6fb6dd4fc3b02c327a2ce1beefc54d2582e,0,0,,
0x4a239c40bc9e4712d758a2b68e8b0c8dc14d5453,0,0,,
0x7ebf66b123692d8090e54708eae33a5f2bdf4991,0,0,,